Accident_Index,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Sex_of_Driver,Sex_of_Casualty,Age_of_Driver,Age_of_Casualty
2.02E+12,3,2,1,07/01/18,1,12:38,1,2,1,34
2.02E+12,2,2,1,07/01/18,1,11:36,1,2,57,26
2.02E+12,3,2,2,07/01/18,1,16:15,2,1,43,30
2.02E+12,3,3,1,07/01/18,1,18:15,1,1,70,37
2.02E+12,2,1,1,06/01/18,7,19:40,1,2,43,32
2.02E+12,3,2,1,07/01/18,1,13:30,2,1,60,16
2.02E+12,3,3,1,07/01/18,1,17:37,3,1,1,23
2.02E+12,3,2,2,07/01/18,1,17:50,1,2,28,49
2.02E+12,3,2,1,07/01/18,1,15:18,1,2,31,67
2.02E+12,3,1,1,07/01/18,1,17:00,3,2,42,66
2.02E+12,3,2,1,07/01/18,1,18:30,3,2,1,88
2.02E+12,3,2,1,07/01/18,1,19:05,3,1,1,60
2.02E+12,3,2,2,07/01/18,1,19:51,3,1,1,47
2.02E+12,2,2,1,07/01/18,1,19:24,1,1,31,23
2.02E+12,3,2,1,07/01/18,1,20:18,1,2,31,48
2.02E+12,2,1,1,07/01/18,1,17:30,1,1,46,43
2.02E+12,3,1,1,07/01/18,1,17:50,1,2,32,78
2.02E+12,3,2,1,07/01/18,1,20:00,1,2,41,10
2.02E+12,2,1,1,06/01/18,7,19:05,1,2,56,29
2.02E+12,3,1,1,06/01/18,7,22:45,1,1,59,26
2.02E+12,3,2,1,07/01/18,1,23:33,1,1,58,21
2.02E+12,2,1,1,07/01/18,1,22:35,2,1,79,14
2.02E+12,3,2,1,07/01/18,1,23:00,3,1,1,28
2.02E+12,3,2,1,05/01/18,6,15:48,1,2,56,16
2.02E+12,2,2,1,08/01/18,2,4:30,1,1,1,33
2.02E+12,2,1,1,08/01/18,2,6:03,2,1,41,30
2.02E+12,3,2,1,08/01/18,2,7:20,1,2,57,19
2.02E+12,3,2,2,08/01/18,2,7:13,1,2,30,84
2.02E+12,2,1,1,08/01/18,2,7:59,1,1,34,40
2.02E+12,3,2,1,08/01/18,2,7:40,1,1,18,30
2.02E+12,2,2,2,08/01/18,2,6:45,1,2,24,9
2.02E+12,3,2,1,02/01/18,3,17:30,1,1,59,22
2.02E+12,3,2,1,08/01/18,2,7:00,3,1,1,27
2.02E+12,3,2,1,08/01/18,2,6:50,1,2,31,45
2.02E+12,3,2,2,08/01/18,2,6:30,2,1,36,82
2.02E+12,3,2,1,08/01/18,2,8:30,1,2,54,31
2.02E+12,3,2,1,08/01/18,2,6:15,1,1,57,35
2.02E+12,3,2,1,08/01/18,2,8:57,1,2,28,46
2.02E+12,3,1,2,08/01/18,2,8:54,2,1,1,21
2.02E+12,3,2,2,08/01/18,2,11:40,2,2,42,32
